token	lemma	pos	msd	msd_morph	msd_mode	msd_temps	msd_pers	msd_nomb	msd_genre	msd_cas
à	avoir	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
preſent	présent	ADJqua	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
aucun	aucun	DETind	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
deſes	déses	DETcar	NOMB.=p					NOMB.=p		
orateurs	orateur	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
mercenaires	mercenaire	ADJqua	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
ces	ce	DETdem	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
Poëtes	poète	ADJqua	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
affamez	affamé	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
qui	qui	PROrel	MORPH=empty	MORPH=empty						
ne	ne	ADVneg	MORPH=empty	MORPH=empty						
faſſe	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub	TEMPS=pst	PERS.=3	NOMB.=s		
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
penitence	pénitence	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
de	de	PRE	MORPH=empty	MORPH=empty						
ce	ce	DETdem	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
crime	crime	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
qui	qui	PROrel	MORPH=empty	MORPH=empty						
ne	ne	ADVneg	MORPH=empty	MORPH=empty						
voulut	vouloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
de	de	PRE	MORPH=empty	MORPH=empty						
bon	bon	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
cœur	cœur	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
nmarcherſur	nonrchersur	VERinf	MORPH=empty	MORPH=empty						
l’	le	DETdef	NOMB.=s					NOMB.=s		
ldole	l'ole	PROdem	PERS.=3|NOMB.=s|GENRE=f				PERS.=3	NOMB.=s	GENRE=f	
qu’	que	PROrel	MORPH=empty	MORPH=empty						
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
encenſee	encenser	VERppe	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
.	.	PONfrt	MORPH=empty	MORPH=empty						
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r				PERS.=3	NOMB.=s	GENRE=m	CAS=r
confeſſe	confesser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
franchement	franchement	ADVgen	MORPH=empty	MORPH=empty						
que	que	PROrel	MORPH=empty	MORPH=empty						
i’	je	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
eſté	être	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
rang	rang	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
de	de	PRE	MORPH=empty	MORPH=empty						
ſes	son	DETpos	PERS.=3|NOMB.=p|GENRE=f				PERS.=3	NOMB.=p	GENRE=f	
Idolatres	idolâtre	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
:	:	PONfbl	MORPH=empty	MORPH=empty						
mais	mais	CONcoo	MORPH=empty	MORPH=empty						
auſſi	aussi	ADVgen	MORPH=empty	MORPH=empty						
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=m|CAS=n				PERS.=0	NOMB.=s	GENRE=m	CAS=n
faut	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
que	que	CONsub	MORPH=empty	MORPH=empty						
lon	long	PROind	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n
ſç̧ache	savacher	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub	TEMPS=pst	PERS.=3	NOMB.=s		
que	que	CONsub	MORPH=empty	MORPH=empty						
depuis	depuis	ADVgen	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
reconnu	reconnaître	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
que	que	CONsub	MORPH=empty	MORPH=empty						
Mazarin	Mazarin	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
eſtoit	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s		MODE=ind	TEMPS=ipf	PERS.=3	NOMB.=s		
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
plus	plus	ADVgen	MORPH=empty	MORPH=empty						
perfide	perfide	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
de	de	PRE	MORPH=empty	MORPH=empty						
tous	tout	DETind	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
hommes	homme	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
que	que	PROrel	MORPH=empty	MORPH=empty						
i’	je	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
fait	faire	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
ceſſer	cesser	VERinf	MORPH=empty	MORPH=empty						
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=m				PERS.=1	NOMB.=p	GENRE=m	
adrations	adration	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
;	;	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
i’	je	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
eſteé́	éteiner	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
premier	premier	ADJord	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
qui	qui	PROrel	MORPH=empty	MORPH=empty						
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
rendu	rendre	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
teſmoignagnes	témoignagne	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
publics	public	ADJqua	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
par	par	PRE	MORPH=empty	MORPH=empty						
vne	un	DETndf	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
palinodie	palinodie	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
de	de	PRE	MORPH=empty	MORPH=empty						
naon	naon	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
erreur	erreur	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
.	.	PONfrt	MORPH=empty	MORPH=empty						
I’	je	PROimp	PERS.=0|NOMB.=s|GENRE=m|CAS=n				PERS.=0	NOMB.=s	GENRE=m	CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
reconnu	reconnaître	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
qu’	que	CONsub	MORPH=empty	MORPH=empty						
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
y	y	PROadv	MORPH=empty	MORPH=empty						
auoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s		MODE=ind	TEMPS=ipf	PERS.=3	NOMB.=s		
rien	rien	PROind	NOMB.=s					NOMB.=s		
de	de	PRE	MORPH=empty	MORPH=empty						
bon	bon	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
en	en	ADVgen	MORPH=empty	MORPH=empty						
Mazarin	Mazarin	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
;	;	PONfbl	MORPH=empty	MORPH=empty						
qu’	que	CONsub	MORPH=empty	MORPH=empty						
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
y	y	PROadv	MORPH=empty	MORPH=empty						
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
que	que	ADVgen	MORPH=empty	MORPH=empty						
des	un	DETndf	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
ordures	ordure	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
dans	dans	PRE	MORPH=empty	MORPH=empty						
ſon	son	DETpos	PERS.=3|NOMB.=s|GENRE=m				PERS.=3	NOMB.=s	GENRE=m	
berceau	berceau	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
ie	je	PROper	PERS.=3|NOMB.=s				PERS.=3	NOMB.=s		
veux	vouloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=1	NOMB.=s		
dire	dire	VERinf	MORPH=empty	MORPH=empty						
en	en	PRE	MORPH=empty	MORPH=empty						
ſa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f				PERS.=3	NOMB.=s	GENRE=f	
naiſſance	naissance	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
;	;	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
ſon	son	DETpos	PERS.=3|NOMB.=s|GENRE=m				PERS.=3	NOMB.=s	GENRE=m	
enfance	enfance	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
eſte	être	NOMcom	TEMPS=pst|NOMB.=s|GENRE=m			TEMPS=pst		NOMB.=s	GENRE=m	
vn	un	ADVgen	NOMB.=s					NOMB.=s		
ſeminaire	seminaire	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
de	de	PRE	MORPH=empty	MORPH=empty						
toutes	tout	DETind	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
ſortes	sorte	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
de	de	PRE	MORPH=empty	MORPH=empty						
fourberies	fourberie	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
ſubeilitez	subeilité	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
dangereuſes	dangereux	ADJqua	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
.	.	PONfrt	MORPH=empty	MORPH=empty						
Pour	pour	PRE	MORPH=empty	MORPH=empty						
raoy	rai	NOMcom	NOMB.=s					NOMB.=s		
ie	je	PROper	PERS.=1|NOMB.=s				PERS.=1	NOMB.=s		
tiens	tenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=1	NOMB.=s		
pour	pour	PRE	MORPH=empty	MORPH=empty						
vne	un	DETndf	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
maxime	maxime	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
infaillible	infaillible	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
l’	le	DETdef	NOMB.=s					NOMB.=s		
on	on	PROind	PERS.=3|NOMB.=s|CAS=n				PERS.=3	NOMB.=s		CAS=n
ne	ne	ADVneg	MORPH=empty	MORPH=empty						
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
iamais	jamais	ADVgen	MORPH=empty	MORPH=empty						
admettre	admettre	VERinf	MORPH=empty	MORPH=empty						
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
grandeurs	grandeur	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
ceux	celui	PROdem	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
qui	qui	PROrel	MORPH=empty	MORPH=empty						
ne	ne	ADVneg	MORPH=empty	MORPH=empty						
ſont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=p		
nays	naître	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
que	que	CONsub	MORPH=empty	MORPH=empty						
dans	dans	PRE	MORPH=empty	MORPH=empty						
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
baſſeſſe	bassesse	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
&	et	CONcoo	MORPH=empty	MORPH=empty						
dans	dans	PRE	MORPH=empty	MORPH=empty						
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
honte	honte	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
.	.	PONfrt	MORPH=empty	MORPH=empty						
Les	le	DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
Nobles	noble	NOMpro	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
ſont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=p		
portez	porter	VERcjg	MODE=imp|NOMB.=p		MODE=imp			NOMB.=p		
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
grandes	grand	ADJqua	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
actions	action	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
par	par	PRE	MORPH=empty	MORPH=empty						
celles	celui	PROdem	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
de	de	PRE	MORPH=empty	MORPH=empty						
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m				PERS.=3	NOMB.=p	GENRE=m	
Ayeux	aïeul	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
qui	qui	PROrel	MORPH=empty	MORPH=empty						
leur	il	PROper	PERS.=3|NOMB.=p|CAS=i				PERS.=3	NOMB.=p		CAS=i
tiennent	tenir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p		MODE=ind	TEMPS=ipf	PERS.=3	NOMB.=p		
lieu	lieu	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
de	de	PRE	MORPH=empty	MORPH=empty						
flambeau	flambeau	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
&	et	CONcoo	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
guides	guide	NOMcom	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
fidelles	fidèle	ADJqua	NOMB.=p|GENRE=f					NOMB.=p	GENRE=f	
.	.	PONfrt	MORPH=empty	MORPH=empty						
Quoy	quoi	PROrel	MORPH=empty	MORPH=empty						
qu’	que	PROrel	MORPH=empty	MORPH=empty						
vn	un	PROind	NOMB.=s					NOMB.=s		
docte	docte	VERcjg	TEMPS=pst|NOMB.=s|GENRE=m			TEMPS=pst		NOMB.=s	GENRE=m	
ayt	avoir	VERcjg	MODE=ind|PERS.=3|NOMB.=s		MODE=ind		PERS.=3	NOMB.=s		
dit	dire	VERppe	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
autresfois	autrefois	ADVgen	MORPH=empty	MORPH=empty						
,	,	PONfbl	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
tout	tout	DETind	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
ſang	sang	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
d’	de	PRE	MORPH=empty	MORPH=empty						
vne	un	DETndf	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
couleur	couleur	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
:	:	PONfbl	MORPH=empty	MORPH=empty						
ſi	si	CONsub	MORPH=empty	MORPH=empty						
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
tres	très	ADVgen	MORPH=empty	MORPH=empty						
certain	certain	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
qu’	que	CONsub	MORPH=empty	MORPH=empty						
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=n|CAS=n				PERS.=3	NOMB.=s	GENRE=n	CAS=n
y	y	PROadv	MORPH=empty	MORPH=empty						
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
ie	je	PROper	NOMB.=s					NOMB.=s		
?	?	PONfrt	MORPH=empty	MORPH=empty						
neſç̧ay	nésuer	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
quoy	quoi	ADVgen	NOMB.=p					NOMB.=p		
de	de	PRE	MORPH=empty	MORPH=empty						
grand	grand	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
&	et	CONcoo	MORPH=empty	MORPH=empty						
pour	pour	PRE	MORPH=empty	MORPH=empty						
ainſi	ainsi	ADVgen	MORPH=empty	MORPH=empty						
dire	dire	VERinf	MORPH=empty	MORPH=empty						
vn	un	ADVgen	NOMB.=s					NOMB.=s		
eſeconde	éseundre	VERppe	NOMB.=s					NOMB.=s		
ame	âme	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
dans	dans	PRE	MORPH=empty	MORPH=empty						
ceux	celui	PROdem	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
qu	que	PROrel	MORPH=empty	MORPH=empty						
lont	lant	DETind	PERS.=3|NOMB.=p|GENRE=m				PERS.=3	NOMB.=p	GENRE=m	
nays	naître	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
de	de	PRE	MORPH=empty	MORPH=empty						
parens	parent	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
¬	@greek	NOMpro	MORPH=empty	MORPH=empty						
laſtres	lastre	NOMcom	NOMB.=p					NOMB.=p		
;	;	PONfbl	MORPH=empty	MORPH=empty						
Qu’	que	CONsub	MORPH=empty	MORPH=empty						
onu	onu	PROind	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
ne	ne	ADVneg	MORPH=empty	MORPH=empty						
’	’	ADVneg	MORPH=empty	MORPH=empty						
eſtonne	étonner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub	TEMPS=pst	PERS.=3	NOMB.=s		
donc	donc	ADVgen	MORPH=empty	MORPH=empty						
pas	pas	ADVgen	MORPH=empty	MORPH=empty						
s’	si	CONsub	MORPH=empty	MORPH=empty						
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
ya	jà	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
rien	rien	PROind	NOMB.=s					NOMB.=s		
que	que	ADVgen	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
bas	bas	ADVgen	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
&	et	CONcoo	MORPH=empty	MORPH=empty						
de	de	PRE	MORPH=empty	MORPH=empty						
honteux	honteux	ADJqua	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
dans	dans	PRE	MORPH=empty	MORPH=empty						
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
Mazarin	Mazarin	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
puis	puis	ADVgen	MORPH=empty	MORPH=empty						
,	,	PONfbl	MORPH=empty	MORPH=empty						
qu’	que	CONsub	MORPH=empty	MORPH=empty						
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
detres	détrer	ADVgen	MORPH=empty	MORPH=empty						
baſſe	bas	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
naiſſance	naissance	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
:	:	PONfbl	MORPH=empty	MORPH=empty						
Mais	mais	CONcoo	MORPH=empty	MORPH=empty						
ceet	ce	DETdem	NOMB.=p					NOMB.=p		
pas	pas	ADVneg	MORPH=empty	MORPH=empty						
celadlont	céladler	VERcjg	MORPH=empty	MORPH=empty						
is	is	VERcjg	PERS.=1				PERS.=1			
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
blaſme	blâme	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
c’	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
de	de	PRE	MORPH=empty	MORPH=empty						
n’	ne	ADVneg	MORPH=empty	MORPH=empty						
auoir	avoir	VERinf	MORPH=empty	MORPH=empty						
aucne	aucne	DETind	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
crainte	crainte	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
de	de	PRE	MORPH=empty	MORPH=empty						
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
;	;	PONfbl	MORPH=empty	MORPH=empty						
quoy	quoi	ADVgen	NOMB.=p					NOMB.=p		
qu’	que	CONsub	MORPH=empty	MORPH=empty						
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
dire	dire	VERinf	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
des	de_le	PRE.DETdef	NOMB.=p					NOMB.=p		
ſçauans	scéaume	NOMcom	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n				PERS.=3	NOMB.=s	GENRE=f	CAS=n
ſoie	soie	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s		MODE=sub	TEMPS=pst	PERS.=3	NOMB.=s		
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
fidelle	fidèle	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
gardienne	gardien	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
de	de	PRE	MORPH=empty	MORPH=empty						
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
ſoeieté	soéiette	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
entre	entre	PRE	MORPH=empty	MORPH=empty						
le	le	DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
hommes	homme	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
.	.	PONfrt	MORPH=empty	MORPH=empty						
C’	ce	PROdem	NOMB.=s|GENRE=n					NOMB.=s	GENRE=n	
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
vn	un	ADVgen	MORPH=empty	MORPH=empty						
eſtrangeabus	étrangeabus	ADJqua	NOMB.=p|GENRE=m					NOMB.=p	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
que	que	CONsub	MORPH=empty	MORPH=empty						
dans	dans	PRE	MORPH=empty	MORPH=empty						
un	un	DETndf	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
Rorumepieur	rorumépieur	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
&	et	CONcoo	MORPH=empty	MORPH=empty						
eraignant	éraignant	VERppa	GENRE=m						GENRE=m	
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
avant	avant	PRE	MORPH=empty	MORPH=empty						
